Nombre del Modelo,Marca,Año,Precio,Kilometraje,Fecha de Registro
Auto 54,Marca 10,1958,149005,29138,2024-11-21
Auto 55,Marca 2,1966,127948,56980,2024-07-07
Auto 56,Marca 1,1992,84238,133718,2024-03-20
Auto 57,Marca 6,1994,122549,52524,2024-12-28
Auto 58,Marca 6,1985,32881,141751,2024-04-20
Auto 59,Marca 6,1995,116975,35357,2024-03-08
Auto 60,Marca 1,1979,68629,123635,2024-06-20
Auto 61,Marca 7,2002,115494,49193,2024-08-03
Auto 62,Marca 4,2017,147617,141977,2024-07-23
Auto 63,Marca 4,2013,148932,80219,2024-09-29
Auto 64,Marca 10,1978,68509,36009,2024-05-08
Auto 65,Marca 2,2018,133826,54302,2024-07-27
Auto 66,Marca 2,2005,51427,77222,2024-03-16
Auto 67,Marca 5,2012,115763,122963,2024-07-21
Auto 68,Marca 7,1974,76093,97143,2024-04-23
Auto 69,Marca 6,2008,147130,104281,2024-09-09
Auto 70,Marca 2,1983,71718,122071,2024-05-26
Auto 71,Marca 7,1970,57157,136635,2024-08-12
Auto 72,Marca 2,1955,52211,123344,2024-01-31
Auto 73,Marca 9,1969,64083,137862,2024-08-18
Auto 74,Marca 2,2018,107450,81464,2024-05-07
Auto 75,Marca 4,2003,23753,37068,2024-09-28
Auto 76,Marca 3,1972,149695,28246,2024-06-22
Auto 77,Marca 7,1985,63671,106461,2024-02-19
Auto 78,Marca 6,1950,46574,24535,2024-07-07
Auto 79,Marca 5,1972,97196,77116,2024-02-26
Auto 80,Marca 2,2015,36570,98540,2024-09-24
Auto 81,Marca 1,2018,84482,65028,2024-12-21
Auto 82,Marca 1,1972,127409,128328,2024-10-21
Auto 83,Marca 3,1989,89494,72809,2024-11-23
Auto 84,Marca 2,1972,119852,24503,2024-03-15
Auto 85,Marca 4,1968,120271,77589,2024-02-25
Auto 86,Marca 1,2011,55684,116772,2024-12-03
Auto 87,Marca 1,1970,93538,21981,2024-07-15
Auto 88,Marca 10,2016,140486,61419,2024-03-16
Auto 89,Marca 8,1983,79266,128700,2024-12-31
Auto 90,Marca 2,1992,43879,132656,2024-12-20
Auto 91,Marca 8,1954,64137,45740,2024-11-05
Auto 92,Marca 7,1960,78697,51967,2024-09-02
Auto 93,Marca 1,2016,123857,119655,2024-06-23
Auto 94,Marca 8,1988,77606,140966,2024-04-19
Auto 95,Marca 4,1969,126290,120242,2024-01-01
Auto 96,Marca 10,1968,65526,54241,2024-10-04
Auto 97,Marca 2,1970,83896,118243,2024-05-17
Auto 98,Marca 3,1961,63411,115886,2024-09-13
Auto 99,Marca 1,1954,149416,134539,2024-06-08
Auto 100,Marca 8,2001,146839,90016,2024-02-29
