ID del Sensor,Tipo Sensor,Valor Leido,Ubicacion,TimeStamp
174,Temperatura,14.0,Europa,2024-03-03
175,Temperatura,98.0,Europa,2024-04-30
176,Temperatura,12.0,Oceanía,2024-12-17
177,Luz ,39.0,Sudamerica,2024-01-25
178,Luz ,68.0,Norteamerica,2024-11-12
179,Movimiento,82.0,Europa,2024-12-30
180,Presencia,4.0,Norteamerica,2024-02-25
181,Movimiento,84.0,Asia,2024-10-29
182,Humedad,48.0,África,2024-07-29
183,Humedad,23.0,Asia,2024-10-16
184,Humedad,14.0,Norteamerica,2024-01-21
185,Luz ,16.0,Sudamerica,2024-10-27
186,Presencia,96.0,África,2024-11-11
187,Movimiento,50.0,Europa,2024-11-27
188,Luz ,75.0,Sudamerica,2024-04-13
189,Temperatura,78.0,Europa,2024-09-16
190,Presencia,100.0,Norteamerica,2024-10-25
191,Humedad,89.0,Sudamerica,2024-09-24
192,Temperatura,6.0,Oceanía,2024-03-18
193,Presencia,82.0,Sudamerica,2024-09-25
194,Movimiento,95.0,Sudamerica,2024-08-26
195,Humedad,71.0,Norteamerica,2024-08-29
196,Temperatura,15.0,Oceanía,2024-08-15
197,Temperatura,84.0,África,2024-09-20
198,Luz ,13.0,Norteamerica,2024-09-26
199,Presencia,56.0,África,2024-12-03
200,Luz ,26.0,Sudamerica,2024-10-15
201,Movimiento,43.0,África,2024-02-29
202,Presencia,78.0,Europa,2024-12-10
203,Movimiento,96.0,Norteamerica,2024-10-12
204,Temperatura,21.0,Asia,2024-12-25
205,Presencia,29.0,Norteamerica,2024-06-17
206,Presencia,80.0,Asia,2024-06-14
207,Humedad,86.0,Europa,2024-11-21
208,Luz ,17.0,África,2024-12-13
209,Luz ,54.0,Norteamerica,2024-05-25
210,Luz ,79.0,Asia,2024-01-07
211,Movimiento,76.0,Europa,2024-11-22
212,Luz ,38.0,África,2024-03-26
213,Temperatura,24.0,Oceanía,2024-12-21
214,Movimiento,100.0,Oceanía,2024-12-08
215,Humedad,96.0,Europa,2024-12-21
216,Temperatura,12.0,Asia,2024-08-22
217,Humedad,23.0,Europa,2024-02-18
218,Presencia,69.0,Sudamerica,2024-05-28
219,Presencia,41.0,Oceanía,2024-08-22
220,Movimiento,100.0,Sudamerica,2024-10-17
221,Luz ,43.0,Oceanía,2024-02-29
222,Movimiento,30.0,Asia,2024-09-07
223,Temperatura,25.0,Sudamerica,2024-06-17
224,Temperatura,30.0,Norteamerica,2024-12-23
225,Temperatura,5.0,Norteamerica,2024-07-08
226,Luz ,20.0,Europa,2024-12-03
227,Humedad,2.0,Sudamerica,2024-10-29
228,Humedad,81.0,Europa,2024-01-09
229,Luz ,47.0,Norteamerica,2024-04-11
230,Temperatura,17.0,Europa,2024-05-27
231,Temperatura,64.0,África,2024-06-12
232,Humedad,100.0,Oceanía,2024-02-15
233,Luz ,32.0,Norteamerica,2024-12-23
234,Presencia,97.0,Asia,2024-11-01
235,Humedad,96.0,Norteamerica,2024-01-04
236,Movimiento,65.0,Norteamerica,2024-08-26
237,Movimiento,60.0,Oceanía,2024-07-25
238,Humedad,17.0,Sudamerica,2024-09-20
239,Temperatura,49.0,Oceanía,2024-09-28
240,Humedad,62.0,Europa,2024-11-09
241,Movimiento,93.0,Europa,2024-08-15
242,Luz ,29.0,Asia,2024-08-07
243,Humedad,78.0,África,2024-01-18
244,Movimiento,24.0,Europa,2024-04-22
245,Movimiento,90.0,Norteamerica,2024-07-19
246,Presencia,99.0,Oceanía,2024-09-18
247,Presencia,15.0,Europa,2024-03-25
248,Presencia,62.0,Norteamerica,2024-11-20
249,Temperatura,77.0,África,2024-01-01
250,Humedad,30.0,Norteamerica,2024-01-11
251,Humedad,37.0,Norteamerica,2024-02-10
252,Humedad,25.0,Europa,2024-02-11
253,Presencia,94.0,Asia,2024-11-17
254,Luz ,26.0,África,2024-03-09
255,Movimiento,54.0,Europa,2024-01-23
256,Luz ,23.0,Europa,2024-12-19
257,Temperatura,76.0,Norteamerica,2024-07-27
258,Humedad,100.0,Asia,2024-08-03
259,Humedad,90.0,Asia,2024-08-06
260,Movimiento,79.0,Oceanía,2024-02-28
261,Temperatura,88.0,Norteamerica,2024-05-24
262,Humedad,36.0,Sudamerica,2024-06-23
263,Humedad,48.0,Norteamerica,2024-11-28
264,Temperatura,50.0,Asia,2024-04-26
265,Presencia,83.0,Oceanía,2024-05-02
266,Presencia,74.0,Sudamerica,2024-12-21
267,Movimiento,29.0,Asia,2024-03-04
268,Movimiento,6.0,Europa,2024-06-11
269,Temperatura,2.0,Oceanía,2024-02-17
270,Temperatura,85.0,Asia,2024-03-20
271,Humedad,17.0,Europa,2024-05-19
272,Temperatura,29.0,Asia,2024-03-11
273,Luz ,61.0,Oceanía,2024-06-27
274,Luz ,59.0,Europa,2024-12-27
275,Luz ,25.0,Oceanía,2024-05-27
276,Luz ,4.0,África,2024-08-20
277,Movimiento,66.0,Norteamerica,2024-12-29
278,Presencia,44.0,África,2024-01-24
279,Humedad,58.0,Oceanía,2024-06-14
280,Luz ,39.0,África,2024-04-30
281,Movimiento,5.0,Asia,2024-01-25
282,Temperatura,97.0,Norteamerica,2024-08-11
283,Humedad,73.0,Oceanía,2024-11-14
284,Luz ,42.0,Europa,2024-09-10
285,Movimiento,23.0,Sudamerica,2024-06-23
286,Temperatura,76.0,Norteamerica,2024-09-27
287,Luz ,35.0,Europa,2024-05-08
288,Temperatura,35.0,Asia,2024-09-23
289,Presencia,7.0,Oceanía,2024-11-21
290,Temperatura,20.0,Oceanía,2024-02-04
291,Movimiento,4.0,Norteamerica,2024-06-08
292,Movimiento,76.0,Asia,2024-12-09
293,Humedad,3.0,Norteamerica,2024-09-08
294,Luz ,16.0,Oceanía,2024-03-25
295,Presencia,68.0,Asia,2024-05-07
296,Presencia,79.0,Europa,2024-01-27
297,Luz ,72.0,Asia,2024-04-26
298,Movimiento,2.0,Norteamerica,2024-06-04
299,Humedad,30.0,Asia,2024-03-30
300,Movimiento,94.0,África,2024-12-31
301,Movimiento,6.0,Asia,2024-07-23
302,Humedad,92.0,Asia,2024-01-13
303,Humedad,33.0,Europa,2024-09-03
304,Luz ,28.0,Oceanía,2024-12-22
305,Presencia,38.0,Oceanía,2024-08-24
306,Humedad,1.0,Europa,2024-06-15
307,Humedad,19.0,Asia,2024-08-04
308,Temperatura,98.0,Asia,2024-12-10
309,Movimiento,82.0,Asia,2024-04-27
310,Temperatura,24.0,Oceanía,2024-06-15
311,Humedad,61.0,Norteamerica,2024-03-18
312,Temperatura,83.0,África,2024-08-28
313,Humedad,84.0,Sudamerica,2024-06-20
314,Presencia,45.0,Oceanía,2024-01-21
315,Movimiento,60.0,Asia,2024-09-20
316,Movimiento,80.0,Sudamerica,2024-11-13
317,Luz ,50.0,Norteamerica,2024-10-05
318,Humedad,77.0,Asia,2024-04-16
319,Movimiento,11.0,Norteamerica,2024-11-11
320,Movimiento,13.0,Asia,2024-07-04
321,Presencia,44.0,Asia,2024-04-24
322,Presencia,45.0,Sudamerica,2024-04-25
323,Humedad,13.0,Europa,2024-01-14
324,Movimiento,70.0,Oceanía,2024-05-07
325,Temperatura,46.0,Oceanía,2024-09-24
326,Humedad,51.0,Sudamerica,2024-08-01
327,Presencia,65.0,Oceanía,2024-02-23
328,Humedad,83.0,Oceanía,2024-05-28
329,Presencia,6.0,Oceanía,2024-12-15
330,Humedad,58.0,Oceanía,2024-02-01
331,Movimiento,26.0,Sudamerica,2024-07-14
332,Presencia,5.0,Norteamerica,2024-07-30
333,Presencia,71.0,Norteamerica,2024-10-24
334,Movimiento,2.0,Oceanía,2024-03-14
335,Presencia,53.0,África,2024-08-13
336,Presencia,51.0,Asia,2024-09-20
337,Presencia,81.0,Sudamerica,2024-07-19
338,Humedad,17.0,Asia,2024-06-20
339,Humedad,1.0,Oceanía,2024-12-10
340,Presencia,59.0,Sudamerica,2024-09-15
341,Presencia,87.0,Norteamerica,2024-08-08
342,Temperatura,52.0,Norteamerica,2024-11-29
343,Temperatura,16.0,Europa,2024-11-10
344,Temperatura,35.0,Asia,2024-11-11
345,Temperatura,63.0,Norteamerica,2024-01-09
346,Presencia,43.0,África,2024-08-02
347,Temperatura,99.0,Norteamerica,2024-11-24
348,Movimiento,31.0,Norteamerica,2024-02-01
349,Humedad,99.0,Oceanía,2024-09-17
350,Movimiento,76.0,Norteamerica,2024-08-14
351,Humedad,81.0,África,2024-06-14
352,Movimiento,80.0,África,2024-04-15
353,Presencia,8.0,África,2024-11-25
354,Temperatura,55.0,Sudamerica,2024-02-29
355,Luz ,15.0,Norteamerica,2024-07-18
356,Temperatura,92.0,Norteamerica,2024-01-02
357,Temperatura,8.0,África,2024-04-15
358,Temperatura,22.0,Sudamerica,2024-07-29
359,Luz ,37.0,Norteamerica,2024-01-12
360,Movimiento,49.0,África,2024-06-22
361,Movimiento,24.0,Asia,2024-11-27
362,Humedad,42.0,Oceanía,2024-04-12
363,Presencia,61.0,Oceanía,2024-10-17
364,Movimiento,29.0,Europa,2024-01-13
365,Humedad,11.0,África,2024-05-04
366,Temperatura,34.0,Europa,2024-03-21
367,Presencia,16.0,África,2024-01-16
368,Presencia,2.0,Sudamerica,2024-04-28
369,Luz ,15.0,Norteamerica,2024-09-24
370,Presencia,87.0,África,2024-06-13
371,Presencia,67.0,Norteamerica,2024-06-16
372,Movimiento,67.0,Europa,2024-07-25
373,Movimiento,25.0,Europa,2024-07-02
374,Temperatura,16.0,Europa,2024-12-09
375,Luz ,59.0,Europa,2024-02-05
376,Humedad,33.0,Asia,2024-11-10
377,Movimiento,71.0,África,2024-04-14
378,Humedad,57.0,Oceanía,2024-04-06
379,Presencia,59.0,Sudamerica,2024-01-27
380,Humedad,70.0,Sudamerica,2024-05-21
381,Luz ,88.0,Asia,2024-05-03
382,Luz ,50.0,Oceanía,2024-05-28
383,Movimiento,62.0,África,2024-10-19
384,Movimiento,100.0,Asia,2024-12-19
385,Presencia,27.0,Norteamerica,2024-11-29
386,Temperatura,21.0,Sudamerica,2024-02-05
387,Humedad,7.0,Asia,2024-06-08
388,Presencia,70.0,Sudamerica,2024-03-31
389,Movimiento,97.0,Sudamerica,2024-09-10
390,Movimiento,87.0,Oceanía,2024-08-22
391,Presencia,28.0,Sudamerica,2024-05-26
392,Presencia,31.0,Norteamerica,2024-08-13
393,Luz ,97.0,Europa,2024-03-23
394,Presencia,88.0,Asia,2024-06-02
395,Luz ,4.0,Asia,2024-02-18
396,Presencia,50.0,Sudamerica,2024-06-25
397,Luz ,29.0,Norteamerica,2024-10-14
398,Presencia,72.0,Norteamerica,2024-08-14
399,Humedad,61.0,Europa,2024-11-30
400,Temperatura,2.0,Europa,2024-05-03
401,Temperatura,49.0,Norteamerica,2024-06-04
402,Temperatura,60.0,Oceanía,2024-07-06
403,Luz ,30.0,Oceanía,2024-08-21
404,Temperatura,62.0,Asia,2024-09-15
405,Movimiento,90.0,Norteamerica,2024-03-01
406,Humedad,95.0,Sudamerica,2024-11-19
407,Humedad,43.0,Norteamerica,2024-08-30
408,Movimiento,63.0,Oceanía,2024-10-03
409,Luz ,24.0,Europa,2024-09-29
410,Presencia,13.0,Oceanía,2024-08-04
411,Movimiento,42.0,Sudamerica,2024-08-23
412,Presencia,57.0,Asia,2024-10-31
413,Humedad,56.0,Europa,2024-01-23
414,Temperatura,89.0,Oceanía,2024-08-01
415,Temperatura,47.0,Norteamerica,2024-04-25
416,Humedad,34.0,Asia,2024-09-20
417,Luz ,40.0,Europa,2024-09-24
418,Temperatura,29.0,Europa,2024-10-14
419,Temperatura,92.0,Oceanía,2024-03-23
420,Temperatura,90.0,Oceanía,2024-01-22
421,Humedad,23.0,Europa,2024-10-04
422,Luz ,98.0,Oceanía,2024-10-19
423,Luz ,67.0,Norteamerica,2024-04-03
424,Luz ,86.0,Asia,2024-03-15
425,Luz ,37.0,Norteamerica,2024-12-23
426,Humedad,11.0,Norteamerica,2024-05-06
427,Movimiento,16.0,Norteamerica,2024-01-11
428,Temperatura,94.0,África,2024-10-28
429,Movimiento,29.0,Europa,2024-04-25
430,Humedad,89.0,África,2024-09-26
431,Humedad,75.0,Oceanía,2024-01-23
432,Temperatura,57.0,Asia,2024-11-17
433,Luz ,23.0,Asia,2024-10-19
434,Presencia,88.0,Sudamerica,2024-10-28
435,Humedad,10.0,Europa,2024-03-06
436,Temperatura,90.0,Asia,2024-02-10
437,Presencia,7.0,Europa,2024-10-08
438,Presencia,14.0,Sudamerica,2024-03-07
439,Luz ,14.0,Asia,2024-05-16
440,Temperatura,86.0,Norteamerica,2024-11-19
441,Presencia,51.0,Norteamerica,2024-12-31
442,Humedad,71.0,Europa,2024-05-18
443,Temperatura,73.0,Sudamerica,2024-02-09
444,Movimiento,84.0,Oceanía,2024-06-02
445,Movimiento,20.0,Europa,2024-10-13
446,Humedad,53.0,Europa,2024-10-06
447,Temperatura,81.0,Oceanía,2024-01-23
448,Humedad,32.0,Asia,2024-03-10
449,Movimiento,41.0,Europa,2024-08-01
450,Presencia,84.0,Europa,2024-09-11
451,Presencia,35.0,Asia,2024-03-30
452,Presencia,29.0,Oceanía,2024-02-22
453,Temperatura,83.0,Sudamerica,2024-04-23
454,Temperatura,58.0,Oceanía,2024-05-28
455,Movimiento,86.0,Sudamerica,2024-08-14
456,Humedad,34.0,Asia,2024-01-20
457,Humedad,75.0,África,2024-12-04
458,Temperatura,29.0,Asia,2024-02-24
459,Movimiento,16.0,Oceanía,2024-01-14
460,Movimiento,93.0,Sudamerica,2024-04-22
461,Humedad,91.0,Norteamerica,2024-04-21
462,Humedad,42.0,Asia,2024-01-01
463,Movimiento,66.0,Europa,2024-06-20
464,Temperatura,4.0,Europa,2024-11-06
465,Movimiento,51.0,Sudamerica,2024-03-01
466,Temperatura,48.0,África,2024-04-05
467,Movimiento,19.0,Europa,2024-01-19
468,Temperatura,59.0,Oceanía,2024-02-17
469,Luz ,11.0,África,2024-11-16
470,Humedad,32.0,Europa,2024-06-17
471,Luz ,93.0,Oceanía,2024-05-01
472,Movimiento,18.0,Sudamerica,2024-10-04
473,Presencia,5.0,Asia,2024-02-05
474,Presencia,68.0,Norteamerica,2024-06-08
475,Humedad,27.0,Europa,2024-04-12
476,Humedad,9.0,Norteamerica,2024-02-04
477,Humedad,33.0,Oceanía,2024-11-11
478,Movimiento,51.0,Asia,2024-08-30
479,Temperatura,22.0,África,2024-12-23
480,Presencia,7.0,Europa,2024-09-12
481,Presencia,42.0,África,2024-11-01
482,Humedad,75.0,Sudamerica,2024-02-11
483,Presencia,83.0,África,2024-02-29
484,Luz ,2.0,Sudamerica,2024-03-22
485,Humedad,71.0,Asia,2024-01-18
486,Luz ,59.0,Norteamerica,2024-07-05
487,Presencia,7.0,Oceanía,2024-07-21
488,Humedad,97.0,Oceanía,2024-06-07
489,Humedad,34.0,Asia,2024-02-29
490,Humedad,29.0,Asia,2024-06-16
491,Humedad,84.0,Sudamerica,2024-08-22
492,Presencia,24.0,Oceanía,2024-07-11
493,Temperatura,78.0,Asia,2024-03-11
494,Presencia,42.0,África,2024-01-18
495,Presencia,16.0,Sudamerica,2024-11-07
496,Presencia,74.0,Oceanía,2024-12-09
497,Temperatura,77.0,Europa,2024-01-26
498,Movimiento,36.0,Europa,2024-07-02
499,Humedad,93.0,Asia,2024-12-02
500,Humedad,84.0,Europa,2024-04-23
501,Movimiento,14.0,Asia,2024-09-15
502,Presencia,59.0,Asia,2024-07-10
503,Movimiento,87.0,Norteamerica,2024-04-02
504,Presencia,40.0,África,2024-05-10
505,Movimiento,95.0,Europa,2024-05-25
506,Presencia,27.0,Asia,2024-01-31
507,Humedad,96.0,Europa,2024-10-13
508,Movimiento,11.0,Asia,2024-01-06
509,Presencia,32.0,Norteamerica,2024-07-10
510,Temperatura,35.0,Oceanía,2024-03-03
511,Movimiento,29.0,Europa,2024-04-03
512,Luz ,98.0,Oceanía,2024-12-11
513,Luz ,23.0,Asia,2024-12-16
514,Temperatura,67.0,África,2024-01-19
515,Humedad,22.0,Asia,2024-03-25
516,Temperatura,42.0,Norteamerica,2024-06-16
517,Humedad,100.0,Sudamerica,2024-04-03
518,Presencia,69.0,Asia,2024-11-11
519,Presencia,59.0,Norteamerica,2024-10-29
520,Luz ,23.0,Norteamerica,2024-07-31
521,Temperatura,28.0,África,2024-08-04
522,Temperatura,28.0,Sudamerica,2024-05-28
523,Movimiento,41.0,Asia,2024-09-02
524,Presencia,94.0,Norteamerica,2024-01-26
525,Temperatura,2.0,Europa,2024-04-28
526,Luz ,53.0,Europa,2024-12-05
527,Movimiento,39.0,Asia,2024-01-24
528,Luz ,92.0,Europa,2024-02-21
529,Presencia,50.0,Sudamerica,2024-08-14
530,Humedad,23.0,Norteamerica,2024-12-07
531,Movimiento,64.0,Oceanía,2024-11-16
532,Luz ,82.0,Oceanía,2024-11-01
533,Presencia,74.0,África,2024-05-21
534,Humedad,73.0,África,2024-01-13
535,Temperatura,73.0,Asia,2024-05-30
536,Temperatura,84.0,Asia,2024-02-26
537,Presencia,74.0,Europa,2024-01-24
538,Luz ,12.0,Asia,2024-10-01
539,Movimiento,8.0,Norteamerica,2024-06-14
540,Humedad,79.0,África,2024-11-29
541,Movimiento,11.0,Sudamerica,2024-01-16
542,Temperatura,94.0,Oceanía,2024-01-03
543,Luz ,8.0,Asia,2024-05-02
544,Presencia,30.0,Oceanía,2024-10-30
545,Temperatura,37.0,África,2024-10-02
546,Humedad,54.0,Sudamerica,2024-03-06
547,Temperatura,33.0,Europa,2024-04-13
548,Luz ,81.0,Europa,2024-06-02
549,Humedad,14.0,Sudamerica,2024-10-09
550,Presencia,26.0,Oceanía,2024-06-21
551,Presencia,9.0,Sudamerica,2024-03-13
552,Movimiento,65.0,África,2024-12-01
553,Movimiento,36.0,Europa,2024-01-28
554,Movimiento,16.0,Norteamerica,2024-07-14
555,Movimiento,64.0,África,2024-05-07
556,Movimiento,10.0,Asia,2024-04-20
557,Humedad,53.0,Asia,2024-01-05
558,Movimiento,81.0,Europa,2024-10-27
559,Luz ,86.0,Norteamerica,2024-10-29
560,Movimiento,4.0,Sudamerica,2024-07-20
561,Luz ,64.0,Europa,2024-04-21
562,Humedad,1.0,África,2024-04-09
563,Temperatura,66.0,Europa,2024-11-30
564,Humedad,87.0,África,2024-12-10
565,Presencia,98.0,Europa,2024-03-03
566,Humedad,59.0,Asia,2024-05-19
567,Movimiento,44.0,Oceanía,2024-01-20
568,Humedad,65.0,Norteamerica,2024-10-10
569,Humedad,4.0,África,2024-08-17
570,Luz ,41.0,Sudamerica,2024-07-16
571,Presencia,52.0,Norteamerica,2024-11-22
572,Presencia,88.0,Europa,2024-11-18
573,Humedad,55.0,Norteamerica,2024-04-27
574,Presencia,90.0,África,2024-03-13
575,Humedad,17.0,Europa,2024-08-05
576,Humedad,3.0,Norteamerica,2024-12-21
577,Movimiento,75.0,Oceanía,2024-09-14
578,Movimiento,94.0,Europa,2024-05-25
579,Presencia,99.0,Sudamerica,2024-05-01
580,Luz ,56.0,Europa,2024-10-27
581,Humedad,97.0,Sudamerica,2024-02-23
582,Temperatura,55.0,Europa,2024-12-20
583,Presencia,92.0,Norteamerica,2024-01-11
584,Temperatura,21.0,Europa,2024-12-01
585,Movimiento,65.0,África,2024-01-12
586,Luz ,71.0,Oceanía,2024-06-27
587,Temperatura,32.0,Sudamerica,2024-01-13
588,Temperatura,65.0,Sudamerica,2024-05-01
589,Humedad,40.0,Europa,2024-11-06
590,Luz ,3.0,Asia,2024-06-13
591,Movimiento,12.0,África,2024-11-20
592,Movimiento,13.0,Norteamerica,2024-01-13
593,Temperatura,94.0,Asia,2024-07-11
594,Temperatura,80.0,Sudamerica,2024-12-10
595,Movimiento,96.0,Oceanía,2024-03-06
