ID del Producto,Nombre,Categoria,Precio,Cantidad Vendida,Region del Pedido,Fecha del Pedido
35,Producto 35,Deportes,301 $,47.0,Sudamerica,2024-07-11
36,Producto 36,Hogar,2983 $,33.0,Sudamerica,2024-03-08
37,Producto 37,Deportes,4721 $,16.0,Sudamerica,2024-06-27
38,Producto 38,Electronica,1724 $,61.0,Asia,2024-09-01
39,Producto 39,Hogar,1820 $,45.0,África,2024-09-21
40,Producto 40,Hogar,1937 $,10.0,Sudamerica,2024-02-01
41,Producto 41,Entretenimiento,4312 $,94.0,Asia,2024-11-18
42,Producto 42,Deportes,4389 $,48.0,Europa,2024-09-09
43,Producto 43,Entretenimiento,3290 $,85.0,Europa,2024-03-17
44,Producto 44,Moda,1083 $,76.0,Norteamerica,2024-06-22
45,Producto 45,Deportes,3511 $,55.0,África,2024-07-22
46,Producto 46,Hogar,3511 $,37.0,Asia,2024-12-27
47,Producto 47,Hogar,864 $,50.0,Europa,2024-08-04
48,Producto 48,Deportes,1122 $,34.0,Europa,2024-11-06
49,Producto 49,Moda,4685 $,17.0,Asia,2024-07-17
50,Producto 50,Hogar,4602 $,19.0,Sudamerica,2024-10-13
51,Producto 51,Hogar,2252 $,77.0,Norteamerica,2024-06-25
52,Producto 52,Electronica,1672 $,83.0,Europa,2024-07-17
53,Producto 53,Electronica,441 $,12.0,Asia,2024-06-26
54,Producto 54,Moda,2440 $,77.0,Sudamerica,2024-06-12
55,Producto 55,Entretenimiento,3503 $,17.0,Europa,2024-04-04
56,Producto 56,Electronica,2657 $,41.0,Norteamerica,2024-09-26
57,Producto 57,Entretenimiento,4681 $,90.0,Europa,2024-01-18
58,Producto 58,Deportes,374 $,62.0,Sudamerica,2024-06-19
59,Producto 59,Electronica,3684 $,97.0,Sudamerica,2024-04-12
60,Producto 60,Moda,2171 $,95.0,Asia,2024-08-28
61,Producto 61,Hogar,745 $,96.0,Norteamerica,2024-08-24
62,Producto 62,Moda,223 $,96.0,Sudamerica,2024-05-08
63,Producto 63,Entretenimiento,1608 $,25.0,África,2024-07-03
64,Producto 64,Moda,1756 $,19.0,Norteamerica,2024-02-03
65,Producto 65,Moda,2916 $,95.0,Sudamerica,2024-02-18
66,Producto 66,Deportes,1282 $,64.0,África,2024-10-28
67,Producto 67,Deportes,2859 $,78.0,Asia,2024-03-15
68,Producto 68,Entretenimiento,1327 $,67.0,África,2024-12-13
69,Producto 69,Hogar,288 $,24.0,Sudamerica,2024-06-09
70,Producto 70,Electronica,1669 $,66.0,África,2024-12-22
71,Producto 71,Deportes,1634 $,15.0,Europa,2024-06-27
72,Producto 72,Electronica,2648 $,80.0,Sudamerica,2024-08-02
73,Producto 73,Entretenimiento,3443 $,66.0,Sudamerica,2024-12-12
74,Producto 74,Entretenimiento,3158 $,72.0,Europa,2024-08-14
75,Producto 75,Entretenimiento,1821 $,51.0,Europa,2024-04-20
76,Producto 76,Moda,645 $,11.0,África,2024-12-15
77,Producto 77,Entretenimiento,3166 $,66.0,África,2024-10-08
78,Producto 78,Deportes,527 $,38.0,Norteamerica,2024-07-05
79,Producto 79,Electronica,3788 $,79.0,África,2024-11-02
80,Producto 80,Deportes,2526 $,93.0,Asia,2024-11-26
81,Producto 81,Electronica,2577 $,63.0,Norteamerica,2024-02-19
82,Producto 82,Entretenimiento,1815 $,6.0,Asia,2024-11-17
83,Producto 83,Deportes,2017 $,65.0,Europa,2024-02-05
84,Producto 84,Entretenimiento,1209 $,47.0,Asia,2024-02-15
85,Producto 85,Deportes,3800 $,57.0,Europa,2024-07-10
86,Producto 86,Hogar,3489 $,2.0,África,2024-01-01
87,Producto 87,Electronica,3235 $,47.0,África,2024-02-04
88,Producto 88,Moda,1730 $,54.0,Sudamerica,2024-06-06
89,Producto 89,Deportes,2327 $,42.0,Norteamerica,2024-01-30
90,Producto 90,Entretenimiento,1072 $,5.0,Asia,2024-06-13
91,Producto 91,Deportes,3450 $,85.0,Asia,2024-12-10
92,Producto 92,Electronica,1006 $,21.0,África,2024-06-17
93,Producto 93,Electronica,3713 $,98.0,Sudamerica,2024-10-27
94,Producto 94,Hogar,4595 $,74.0,Norteamerica,2024-03-05
95,Producto 95,Electronica,4099 $,69.0,Sudamerica,2024-02-14
96,Producto 96,Hogar,1191 $,35.0,Asia,2024-04-09
97,Producto 97,Entretenimiento,1983 $,94.0,África,2024-06-21
98,Producto 98,Hogar,2705 $,73.0,Sudamerica,2024-10-21
99,Producto 99,Entretenimiento,1011 $,68.0,Norteamerica,2024-07-20
100,Producto 100,Electronica,3813 $,67.0,Norteamerica,2024-09-26
101,Producto 101,Hogar,121 $,37.0,África,2024-07-26
102,Producto 102,Hogar,3171 $,10.0,África,2024-07-16
103,Producto 103,Deportes,3202 $,96.0,Europa,2024-12-09
104,Producto 104,Moda,274 $,19.0,Sudamerica,2024-01-12
105,Producto 105,Electronica,281 $,20.0,África,2024-04-28
106,Producto 106,Hogar,1642 $,62.0,Norteamerica,2024-04-10
107,Producto 107,Entretenimiento,1242 $,95.0,Sudamerica,2024-07-17
108,Producto 108,Moda,4742 $,88.0,Norteamerica,2024-03-24
109,Producto 109,Entretenimiento,2241 $,51.0,Europa,2024-12-23
110,Producto 110,Hogar,691 $,77.0,Europa,2024-05-29
111,Producto 111,Moda,1665 $,89.0,África,2024-07-31
112,Producto 112,Deportes,502 $,47.0,Asia,2024-12-05
113,Producto 113,Deportes,3426 $,89.0,Asia,2024-04-27
114,Producto 114,Electronica,3859 $,63.0,Europa,2024-05-19
115,Producto 115,Hogar,550 $,27.0,Europa,2024-04-26
116,Producto 116,Electronica,714 $,66.0,Asia,2024-09-05
117,Producto 117,Electronica,4101 $,30.0,Norteamerica,2024-11-06
118,Producto 118,Hogar,4730 $,26.0,África,2024-06-15
119,Producto 119,Deportes,3873 $,81.0,Europa,2024-05-09
120,Producto 120,Deportes,2392 $,45.0,Norteamerica,2024-05-11
121,Producto 121,Electronica,4676 $,59.0,Europa,2024-09-24
122,Producto 122,Electronica,3477 $,20.0,Europa,2024-01-20
123,Producto 123,Deportes,1636 $,95.0,Europa,2024-05-21
124,Producto 124,Deportes,4267 $,46.0,Norteamerica,2024-05-18
125,Producto 125,Electronica,1656 $,90.0,Europa,2024-02-11
126,Producto 126,Moda,1105 $,65.0,Europa,2024-11-15
127,Producto 127,Electronica,3387 $,24.0,Europa,2024-07-08
128,Producto 128,Deportes,1301 $,19.0,Asia,2024-07-10
129,Producto 129,Hogar,2313 $,33.0,Asia,2024-02-01
130,Producto 130,Hogar,762 $,36.0,Asia,2024-05-12
131,Producto 131,Electronica,3427 $,31.0,Europa,2024-10-02
132,Producto 132,Moda,4784 $,96.0,Asia,2024-10-12
133,Producto 133,Moda,4565 $,73.0,Norteamerica,2024-09-10
134,Producto 134,Electronica,490 $,76.0,Asia,2024-12-17
135,Producto 135,Moda,1650 $,97.0,Asia,2024-07-29
136,Producto 136,Hogar,634 $,2.0,Norteamerica,2024-02-24
137,Producto 137,Hogar,192 $,94.0,Asia,2024-06-03
138,Producto 138,Entretenimiento,2398 $,62.0,Europa,2024-08-30
139,Producto 139,Electronica,2673 $,54.0,Norteamerica,2024-05-12
140,Producto 140,Electronica,3850 $,23.0,África,2024-11-01
141,Producto 141,Hogar,357 $,36.0,Asia,2024-07-10
142,Producto 142,Moda,4974 $,85.0,África,2024-03-26
143,Producto 143,Deportes,1599 $,29.0,Asia,2024-09-23
144,Producto 144,Deportes,4864 $,78.0,Norteamerica,2024-04-15
145,Producto 145,Moda,3234 $,91.0,Asia,2024-01-28
146,Producto 146,Deportes,1944 $,87.0,Norteamerica,2024-05-11
147,Producto 147,Moda,3711 $,59.0,Europa,2024-09-16
148,Producto 148,Moda,2128 $,2.0,África,2024-12-09
149,Producto 149,Electronica,3576 $,49.0,África,2024-11-01
150,Producto 150,Electronica,4824 $,70.0,Europa,2024-06-07
151,Producto 151,Moda,4056 $,84.0,Norteamerica,2024-04-03
152,Producto 152,Entretenimiento,1337 $,3.0,África,2024-12-30
153,Producto 153,Moda,1487 $,57.0,Sudamerica,2024-10-14
154,Producto 154,Electronica,4554 $,66.0,Asia,2024-07-21
155,Producto 155,Hogar,3950 $,47.0,África,2024-05-19
156,Producto 156,Electronica,1586 $,55.0,Asia,2024-09-05
157,Producto 157,Entretenimiento,4344 $,56.0,Sudamerica,2024-01-26
158,Producto 158,Deportes,1356 $,43.0,Sudamerica,2024-02-15
159,Producto 159,Deportes,4452 $,67.0,Norteamerica,2024-05-10
160,Producto 160,Electronica,2234 $,9.0,Europa,2024-03-03
161,Producto 161,Deportes,2029 $,6.0,Europa,2024-01-20
162,Producto 162,Entretenimiento,971 $,59.0,Europa,2024-10-02
163,Producto 163,Entretenimiento,260 $,65.0,Asia,2024-07-16
164,Producto 164,Hogar,202 $,95.0,Europa,2024-09-07
165,Producto 165,Moda,2150 $,93.0,Norteamerica,2024-01-15
166,Producto 166,Deportes,3507 $,84.0,África,2024-09-14
167,Producto 167,Electronica,1613 $,7.0,Europa,2024-11-17
168,Producto 168,Moda,4150 $,15.0,Asia,2024-02-15
169,Producto 169,Entretenimiento,4989 $,83.0,Asia,2024-11-22
170,Producto 170,Entretenimiento,1451 $,73.0,Europa,2024-05-09
171,Producto 171,Electronica,4616 $,48.0,Asia,2024-09-05
172,Producto 172,Deportes,287 $,84.0,Sudamerica,2024-09-15
173,Producto 173,Electronica,2612 $,64.0,Norteamerica,2024-02-12
174,Producto 174,Deportes,4837 $,73.0,Asia,2024-10-14
175,Producto 175,Deportes,1180 $,12.0,África,2024-08-18
176,Producto 176,Deportes,949 $,73.0,Sudamerica,2024-05-07
177,Producto 177,Entretenimiento,4493 $,81.0,África,2024-04-24
178,Producto 178,Moda,4960 $,20.0,Sudamerica,2024-03-23
179,Producto 179,Moda,338 $,76.0,África,2024-10-13
180,Producto 180,Entretenimiento,1234 $,11.0,Sudamerica,2024-05-31
181,Producto 181,Electronica,2038 $,21.0,Asia,2024-09-12
182,Producto 182,Moda,662 $,81.0,Norteamerica,2024-08-11
183,Producto 183,Moda,869 $,24.0,Norteamerica,2024-12-18
184,Producto 184,Moda,873 $,92.0,Sudamerica,2024-02-10
185,Producto 185,Hogar,1990 $,3.0,Europa,2024-01-07
186,Producto 186,Deportes,709 $,69.0,África,2024-05-10
187,Producto 187,Moda,3508 $,24.0,Norteamerica,2024-12-01
188,Producto 188,Hogar,1234 $,36.0,África,2024-07-16
189,Producto 189,Electronica,3630 $,12.0,Norteamerica,2024-08-24
190,Producto 190,Entretenimiento,345 $,17.0,Norteamerica,2024-05-03
191,Producto 191,Hogar,3824 $,75.0,Norteamerica,2024-06-22
192,Producto 192,Deportes,1550 $,89.0,Norteamerica,2024-01-16
193,Producto 193,Hogar,166 $,53.0,África,2024-08-26
194,Producto 194,Entretenimiento,207 $,10.0,África,2024-05-10
195,Producto 195,Deportes,3780 $,72.0,Sudamerica,2024-05-01
196,Producto 196,Moda,1528 $,52.0,Norteamerica,2024-02-22
197,Producto 197,Entretenimiento,3230 $,82.0,Europa,2024-11-30
198,Producto 198,Hogar,2937 $,37.0,Asia,2024-05-17
199,Producto 199,Electronica,1266 $,81.0,África,2024-05-31
200,Producto 200,Electronica,1395 $,73.0,África,2024-01-21
201,Producto 201,Hogar,3443 $,96.0,Europa,2024-04-25
202,Producto 202,Moda,4877 $,19.0,África,2024-11-09
203,Producto 203,Entretenimiento,2835 $,83.0,Asia,2024-12-27
204,Producto 204,Hogar,2335 $,68.0,Sudamerica,2024-10-16
205,Producto 205,Hogar,3705 $,51.0,África,2024-06-08
206,Producto 206,Entretenimiento,2641 $,98.0,Sudamerica,2024-12-20
207,Producto 207,Moda,1370 $,53.0,Norteamerica,2024-10-15
208,Producto 208,Electronica,100 $,54.0,Norteamerica,2024-09-01
209,Producto 209,Electronica,1015 $,48.0,Asia,2024-06-23
210,Producto 210,Electronica,4781 $,12.0,Norteamerica,2024-03-03
211,Producto 211,Entretenimiento,520 $,69.0,Sudamerica,2024-05-18
212,Producto 212,Hogar,2218 $,2.0,Sudamerica,2024-08-21
213,Producto 213,Deportes,2574 $,46.0,Europa,2024-02-04
214,Producto 214,Moda,548 $,58.0,Europa,2024-07-23
215,Producto 215,Hogar,2856 $,82.0,Sudamerica,2024-07-22
216,Producto 216,Electronica,1892 $,45.0,Norteamerica,2024-12-13
217,Producto 217,Deportes,4455 $,15.0,Sudamerica,2024-06-08
218,Producto 218,Entretenimiento,962 $,98.0,África,2024-02-13
219,Producto 219,Entretenimiento,4821 $,8.0,Asia,2024-06-05
220,Producto 220,Electronica,3905 $,37.0,Norteamerica,2024-11-06
221,Producto 221,Entretenimiento,1603 $,72.0,Europa,2024-01-07
222,Producto 222,Moda,441 $,87.0,África,2024-07-27
223,Producto 223,Moda,3511 $,7.0,África,2024-05-31
224,Producto 224,Deportes,3693 $,84.0,Sudamerica,2024-04-04
225,Producto 225,Hogar,2011 $,41.0,África,2024-07-23
226,Producto 226,Deportes,586 $,62.0,Sudamerica,2024-01-21
227,Producto 227,Electronica,3612 $,37.0,Asia,2024-03-09
228,Producto 228,Moda,1562 $,5.0,Norteamerica,2024-05-27
229,Producto 229,Hogar,4027 $,36.0,Asia,2024-01-13
230,Producto 230,Hogar,4773 $,6.0,África,2024-08-26
231,Producto 231,Moda,302 $,34.0,África,2024-10-25
232,Producto 232,Electronica,3115 $,52.0,África,2024-12-14
233,Producto 233,Electronica,3827 $,15.0,Sudamerica,2024-05-25
234,Producto 234,Deportes,1858 $,78.0,Sudamerica,2024-04-08
235,Producto 235,Electronica,4009 $,47.0,Asia,2024-07-07
236,Producto 236,Entretenimiento,4761 $,38.0,Norteamerica,2024-09-05
237,Producto 237,Entretenimiento,2079 $,25.0,África,2024-10-03
238,Producto 238,Entretenimiento,681 $,94.0,Norteamerica,2024-12-01
239,Producto 239,Electronica,4067 $,14.0,Norteamerica,2024-03-10
240,Producto 240,Electronica,2110 $,23.0,África,2024-11-14
241,Producto 241,Electronica,2424 $,22.0,Europa,2024-07-24
242,Producto 242,Entretenimiento,968 $,87.0,Asia,2024-06-30
243,Producto 243,Electronica,4250 $,10.0,Norteamerica,2024-10-01
244,Producto 244,Electronica,3376 $,20.0,Norteamerica,2024-05-19
245,Producto 245,Entretenimiento,1715 $,45.0,Asia,2024-03-23
246,Producto 246,Moda,4219 $,50.0,Norteamerica,2024-11-18
247,Producto 247,Entretenimiento,1614 $,44.0,Europa,2024-02-29
248,Producto 248,Deportes,723 $,8.0,Sudamerica,2024-03-15
249,Producto 249,Hogar,1638 $,85.0,África,2024-01-31
250,Producto 250,Moda,2602 $,72.0,Sudamerica,2024-03-31
251,Producto 251,Electronica,313 $,53.0,Europa,2024-02-22
252,Producto 252,Electronica,2369 $,95.0,Norteamerica,2024-06-02
253,Producto 253,Deportes,4651 $,23.0,Sudamerica,2024-12-28
254,Producto 254,Deportes,1713 $,33.0,Europa,2024-07-01
255,Producto 255,Moda,4188 $,80.0,Norteamerica,2024-12-01
256,Producto 256,Hogar,4607 $,35.0,Sudamerica,2024-10-18
257,Producto 257,Moda,564 $,66.0,Europa,2024-08-28
258,Producto 258,Hogar,3627 $,51.0,África,2024-11-30
259,Producto 259,Entretenimiento,871 $,50.0,África,2024-08-09
260,Producto 260,Moda,3405 $,100.0,Europa,2024-12-12
261,Producto 261,Hogar,4642 $,84.0,Asia,2024-02-07
262,Producto 262,Deportes,2067 $,83.0,Asia,2024-01-13
263,Producto 263,Electronica,3537 $,95.0,África,2024-04-21
264,Producto 264,Moda,164 $,48.0,Asia,2024-02-09
265,Producto 265,Entretenimiento,2037 $,96.0,África,2024-09-26
266,Producto 266,Hogar,1630 $,16.0,Asia,2024-12-27
267,Producto 267,Electronica,201 $,59.0,Asia,2024-08-27
268,Producto 268,Deportes,4217 $,90.0,Europa,2024-08-29
269,Producto 269,Deportes,3078 $,83.0,Sudamerica,2024-11-10
270,Producto 270,Electronica,3373 $,53.0,África,2024-01-16
271,Producto 271,Electronica,4327 $,86.0,África,2024-10-17
272,Producto 272,Electronica,2497 $,83.0,África,2024-12-25
273,Producto 273,Electronica,2016 $,51.0,Asia,2024-11-07
274,Producto 274,Entretenimiento,2913 $,15.0,Sudamerica,2024-07-11
275,Producto 275,Hogar,2069 $,54.0,África,2024-05-08
276,Producto 276,Electronica,3138 $,78.0,Sudamerica,2024-02-07
277,Producto 277,Moda,4903 $,8.0,Europa,2024-11-30
278,Producto 278,Electronica,3478 $,16.0,Asia,2024-04-08
279,Producto 279,Deportes,535 $,23.0,Sudamerica,2024-12-15
280,Producto 280,Moda,3965 $,18.0,Europa,2024-01-14
281,Producto 281,Entretenimiento,563 $,45.0,Europa,2024-06-09
282,Producto 282,Moda,234 $,75.0,Norteamerica,2024-01-28
283,Producto 283,Deportes,2396 $,13.0,Sudamerica,2024-02-25
284,Producto 284,Electronica,4429 $,92.0,África,2024-02-10
285,Producto 285,Hogar,1722 $,29.0,Norteamerica,2024-10-13
286,Producto 286,Hogar,4512 $,6.0,Sudamerica,2024-10-26
287,Producto 287,Electronica,4965 $,66.0,Sudamerica,2024-07-11
288,Producto 288,Electronica,1066 $,35.0,Norteamerica,2024-10-19
289,Producto 289,Entretenimiento,3915 $,73.0,Europa,2024-08-02
290,Producto 290,Hogar,4955 $,85.0,Norteamerica,2024-06-08
291,Producto 291,Hogar,1494 $,74.0,Asia,2024-07-22
292,Producto 292,Entretenimiento,558 $,47.0,Sudamerica,2024-12-16
293,Producto 293,Deportes,1115 $,61.0,Europa,2024-04-20
294,Producto 294,Entretenimiento,1905 $,20.0,Norteamerica,2024-06-15
295,Producto 295,Entretenimiento,162 $,94.0,Sudamerica,2024-07-24
296,Producto 296,Electronica,3605 $,63.0,Norteamerica,2024-12-21
297,Producto 297,Moda,3470 $,84.0,Asia,2024-02-29
298,Producto 298,Electronica,2478 $,55.0,Europa,2024-11-12
299,Producto 299,Deportes,3427 $,66.0,Norteamerica,2024-06-21
300,Producto 300,Deportes,1342 $,61.0,Norteamerica,2024-10-17
301,Producto 301,Moda,3530 $,98.0,África,2024-08-29
302,Producto 302,Electronica,2019 $,42.0,Europa,2024-04-27
303,Producto 303,Moda,2352 $,95.0,Norteamerica,2024-07-25
304,Producto 304,Electronica,633 $,82.0,África,2024-12-02
305,Producto 305,Entretenimiento,4528 $,88.0,Europa,2024-05-15
306,Producto 306,Deportes,2149 $,27.0,Europa,2024-02-11
307,Producto 307,Entretenimiento,3297 $,6.0,Norteamerica,2024-06-27
308,Producto 308,Deportes,2699 $,43.0,Norteamerica,2024-08-18
309,Producto 309,Deportes,2041 $,86.0,Sudamerica,2024-11-18
310,Producto 310,Electronica,2610 $,4.0,Europa,2024-05-09
311,Producto 311,Entretenimiento,4723 $,94.0,Sudamerica,2024-02-04
312,Producto 312,Moda,2596 $,46.0,Europa,2024-09-10
313,Producto 313,Hogar,244 $,17.0,África,2024-02-23
314,Producto 314,Entretenimiento,115 $,22.0,Norteamerica,2024-01-03
315,Producto 315,Entretenimiento,4545 $,18.0,Norteamerica,2024-09-19
316,Producto 316,Hogar,1369 $,71.0,Sudamerica,2024-06-24
317,Producto 317,Deportes,924 $,16.0,África,2024-01-19
318,Producto 318,Electronica,589 $,10.0,África,2024-08-19
319,Producto 319,Entretenimiento,1216 $,47.0,África,2024-03-22
320,Producto 320,Moda,3364 $,95.0,Asia,2024-12-17
321,Producto 321,Electronica,4269 $,3.0,Europa,2024-07-14
322,Producto 322,Deportes,3320 $,38.0,Norteamerica,2024-08-19
323,Producto 323,Entretenimiento,529 $,15.0,África,2024-11-18
324,Producto 324,Deportes,3050 $,72.0,Asia,2024-10-16
325,Producto 325,Electronica,1965 $,74.0,Europa,2024-02-06
326,Producto 326,Entretenimiento,1144 $,17.0,Norteamerica,2024-02-03
327,Producto 327,Entretenimiento,4221 $,9.0,Sudamerica,2024-10-31
328,Producto 328,Moda,304 $,22.0,Norteamerica,2024-09-29
329,Producto 329,Electronica,3910 $,51.0,Europa,2024-09-28
330,Producto 330,Moda,4327 $,25.0,Norteamerica,2024-10-26
331,Producto 331,Hogar,114 $,61.0,Norteamerica,2024-10-09
332,Producto 332,Entretenimiento,3541 $,82.0,África,2024-08-25
333,Producto 333,Deportes,1551 $,24.0,Sudamerica,2024-11-09
334,Producto 334,Entretenimiento,4148 $,48.0,Asia,2024-08-09
335,Producto 335,Electronica,2961 $,68.0,Sudamerica,2024-04-04
336,Producto 336,Entretenimiento,855 $,22.0,Europa,2024-04-27
337,Producto 337,Entretenimiento,191 $,8.0,África,2024-01-07
338,Producto 338,Hogar,3152 $,66.0,Asia,2024-02-20
339,Producto 339,Hogar,4618 $,16.0,Sudamerica,2024-04-14
340,Producto 340,Hogar,917 $,64.0,África,2024-07-07
341,Producto 341,Electronica,2490 $,8.0,Norteamerica,2024-03-25
342,Producto 342,Hogar,2219 $,10.0,Norteamerica,2024-06-05
343,Producto 343,Electronica,3710 $,59.0,Sudamerica,2024-05-14
344,Producto 344,Deportes,861 $,94.0,Norteamerica,2024-08-10
345,Producto 345,Moda,1669 $,18.0,Europa,2024-04-11
346,Producto 346,Entretenimiento,3501 $,20.0,Asia,2024-12-19
347,Producto 347,Entretenimiento,3730 $,54.0,África,2024-12-02
348,Producto 348,Moda,4758 $,97.0,África,2024-03-15
349,Producto 349,Deportes,3452 $,57.0,Asia,2024-03-18
350,Producto 350,Electronica,1336 $,90.0,África,2024-03-03
351,Producto 351,Moda,3375 $,59.0,África,2024-01-03
352,Producto 352,Deportes,3303 $,3.0,Asia,2024-08-05
353,Producto 353,Entretenimiento,1476 $,24.0,Norteamerica,2024-07-27
354,Producto 354,Deportes,978 $,90.0,Norteamerica,2024-01-25
355,Producto 355,Electronica,2252 $,43.0,Asia,2024-10-01
356,Producto 356,Entretenimiento,3211 $,53.0,Sudamerica,2024-03-19
357,Producto 357,Moda,565 $,93.0,Asia,2024-02-20
358,Producto 358,Electronica,3613 $,97.0,Europa,2024-12-09
359,Producto 359,Electronica,3688 $,65.0,Asia,2024-05-18
360,Producto 360,Hogar,4427 $,5.0,Asia,2024-02-19
361,Producto 361,Deportes,4075 $,38.0,Sudamerica,2024-08-14
362,Producto 362,Deportes,1303 $,97.0,Asia,2024-03-04
363,Producto 363,Entretenimiento,1140 $,54.0,Europa,2024-04-30
364,Producto 364,Moda,2654 $,73.0,Sudamerica,2024-11-11
365,Producto 365,Deportes,2932 $,40.0,Sudamerica,2024-05-26
366,Producto 366,Entretenimiento,2719 $,5.0,Europa,2024-12-10
367,Producto 367,Electronica,4796 $,39.0,Europa,2024-04-17
368,Producto 368,Electronica,3213 $,68.0,Sudamerica,2024-10-09
369,Producto 369,Moda,4817 $,81.0,Norteamerica,2024-03-05
370,Producto 370,Deportes,643 $,84.0,Norteamerica,2024-11-06
371,Producto 371,Entretenimiento,1562 $,72.0,Sudamerica,2024-04-20
372,Producto 372,Deportes,3889 $,57.0,África,2024-09-15
373,Producto 373,Moda,3989 $,38.0,África,2024-06-21
374,Producto 374,Electronica,2590 $,83.0,Sudamerica,2024-11-28
375,Producto 375,Electronica,3483 $,30.0,Asia,2024-04-20
376,Producto 376,Deportes,1282 $,35.0,Norteamerica,2024-08-14
377,Producto 377,Entretenimiento,2487 $,81.0,Norteamerica,2024-09-30
378,Producto 378,Hogar,1333 $,72.0,Europa,2024-05-19
379,Producto 379,Deportes,2691 $,48.0,Europa,2024-07-08
380,Producto 380,Electronica,1181 $,19.0,Norteamerica,2024-05-17
381,Producto 381,Electronica,354 $,62.0,Sudamerica,2024-05-21
382,Producto 382,Moda,3589 $,48.0,Norteamerica,2024-05-23
383,Producto 383,Moda,3381 $,84.0,Asia,2024-01-11
384,Producto 384,Deportes,2955 $,82.0,Asia,2024-04-09
385,Producto 385,Hogar,4099 $,55.0,Asia,2024-07-06
386,Producto 386,Moda,1302 $,45.0,Norteamerica,2024-03-05
387,Producto 387,Entretenimiento,3436 $,12.0,Asia,2024-06-11
388,Producto 388,Entretenimiento,194 $,8.0,África,2024-10-09
389,Producto 389,Moda,3174 $,17.0,Norteamerica,2024-04-24
390,Producto 390,Deportes,2499 $,67.0,Sudamerica,2024-10-24
391,Producto 391,Electronica,1854 $,67.0,África,2024-03-30
392,Producto 392,Entretenimiento,381 $,50.0,Sudamerica,2024-07-03
393,Producto 393,Entretenimiento,3241 $,35.0,África,2024-10-10
394,Producto 394,Entretenimiento,2648 $,62.0,Norteamerica,2024-08-03
395,Producto 395,Deportes,3758 $,74.0,Europa,2024-02-29
396,Producto 396,Deportes,1940 $,40.0,Asia,2024-08-11
397,Producto 397,Deportes,4458 $,81.0,Europa,2024-10-27
398,Producto 398,Entretenimiento,295 $,49.0,Asia,2024-05-07
399,Producto 399,Hogar,387 $,43.0,Europa,2024-07-04
400,Producto 400,Hogar,2540 $,21.0,Asia,2024-08-31
401,Producto 401,Moda,3189 $,64.0,Norteamerica,2024-12-19
402,Producto 402,Electronica,2655 $,6.0,Europa,2024-12-12
403,Producto 403,Deportes,2758 $,11.0,Europa,2024-07-23
404,Producto 404,Entretenimiento,885 $,78.0,Europa,2024-01-25
405,Producto 405,Hogar,4526 $,59.0,Europa,2024-07-15
406,Producto 406,Moda,4393 $,22.0,Norteamerica,2024-06-12
407,Producto 407,Moda,4645 $,41.0,Asia,2024-06-01
408,Producto 408,Electronica,2425 $,12.0,Europa,2024-10-31
